publicationdate,product,longname,maturity,deliverystart,deliveryend,lotsize,tradedlots,numberoftrades,tradedvolume,unitsofvolume
02/01/2023,FE01,Spanish Base Day Future 01,2023-01,01/01/2023,01/01/2023,24,,,,MWh
02/01/2023,FE02,Spanish Base Day Future 02,2023-01,02/01/2023,02/01/2023,24,,,,MWh
02/01/2023,FE03,Spanish Base Day Future 03,2023-01,03/01/2023,03/01/2023,24,275,11,6600,MWh
02/01/2023,FE04,Spanish Base Day Future 04,2023-01,04/01/2023,04/01/2023,24,,,,MWh
02/01/2023,FE05,Spanish Base Day Future 05,2023-01,05/01/2023,05/01/2023,24,,,,MWh
02/01/2023,FE06,Spanish Base Day Future 06,2023-01,06/01/2023,06/01/2023,24,,,,MWh
02/01/2023,FE07,Spanish Base Day Future 07,2023-01,07/01/2023,07/01/2023,24,,,,MWh
02/01/2023,FE08,Spanish Base Day Future 08,2023-01,08/01/2023,08/01/2023,24,,,,MWh
02/01/2023,FE09,Spanish Base Day Future 09,2023-01,09/01/2023,09/01/2023,24,,,,MWh
02/01/2023,FE10,Spanish Base Day Future 10,2023-01,10/01/2023,10/01/2023,24,,,,MWh
02/01/2023,FE11,Spanish Base Day Future 11,2023-01,11/01/2023,11/01/2023,24,,,,MWh
02/01/2023,FE12,Spanish Base Day Future 12,2023-01,12/01/2023,12/01/2023,24,,,,MWh
02/01/2023,01/02/2001 00:00,Spanish Base Week Future,2019-12,30/12/2019,05/01/2023,168,,,,MWh
02/01/2023,01/02/2001 00:00,Spanish Base Week Future,2023-01,27/01/2023,02/02/2023,168,,,,MWh
02/01/2023,01/02/2002 00:00,Spanish Base Week Future,2023-01,06/01/2023,12/01/2023,168,,,,MWh
02/01/2023,01/02/2003 00:00,Spanish Base Week Future,2023-01,13/01/2023,19/01/2023,168,,,,MWh
02/01/2023,01/02/2004 00:00,Spanish Base Week Future,2023-01,20/01/2023,26/01/2023,168,,,,MWh
02/01/2023,FEBM,Spanish Base Month Future,2023-01,01/01/2023,31/01/2023,744,,,,MWh
02/01/2023,FEBM,Spanish Base Month Future,2023-02,01/02/2023,29/02/2023,696,89,18,61944,MWh
02/01/2023,FEBM,Spanish Base Month Future,2023-03,01/03/2023,31/03/2023,743,105,19,78015,MWh
02/01/2023,FEBM,Spanish Base Month Future,2023-04,01/04/2023,30/04/2023,720,,,,MWh
02/01/2023,FEBM,Spanish Base Month Future,2023-05,01/05/2023,31/05/2023,744,,,,MWh
02/01/2023,FEBM,Spanish Base Month Future,2023-06,01/06/2023,30/06/2023,720,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2023-04,01/04/2023,30/06/2023,2184,56,12,122304,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2023-07,01/07/2023,30/09/2023,2208,34,6,75072,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2023-10,01/10/2023,31/12/2023,2209,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2021-01,01/01/2021,31/03/2021,2159,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2021-04,01/04/2021,30/06/2021,2184,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2021-07,01/07/2021,30/09/2021,2208,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2021-10,01/10/2021,31/12/2021,2209,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2022-01,01/01/2022,31/03/2022,2159,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2022-04,01/04/2022,30/06/2022,2184,,,,MWh
02/01/2023,FEBQ,Spanish Base Quarter Future,2022-07,01/07/2022,30/09/2022,2208,,,,MWh
